id,jobTitle,location,category,jobRequirements,link
0,Product Manager- Infrastructure and Security,"Petach Tikva, Israel", ,"2-3 years of experience in product management or 4-5 years of experience as functional analyst
Proven team-work skills and ability to lead cross-functional team efforts
Excellent communication skills - written, verbal and when presenting (mainly in English)
Evangelist, ability to promote new ideas and get buy-in from field teams (SE, PS, sales)
Technical experience in software development as part of an R&D team
Proven technical skills and self-learning ability, capable of thoroughly understanding the functional and technical aspects of a complex system
Experienced and knowledgeable in managing products for large global enterprises
Proven project management skills
Ability to manage multiple tasks simultaneously and work under time pressure
Proactive, highly motivated individual with a serious work ethic and goal-oriented approach
Knowledge in SDLC (software development lifecycle) in enterprises – an advantage
Experience in information security – an advantage
Experience in cloud technology – an advantage
BSc in computer-science/engineering, or 3-5 years hands-on experience in software development – an advantage
MBA - an advantage",https://careers.cyberark.com/job/Petach-Tikva-Product-Manager-Infrastructure-and-Security/648326901/
1,Senior Backend Engineer,"Petach Tikva, Israel",  R&D,"5+ years of experience in server-side language (Python is a definite advantage)
2+ years of experience in enterprise scale application development in cloud/SaaS environment (AWS serverless architecture is a definite advantage)
Excellent design and analytical skills
High ability to use new technologies and understand them in depth through rapid self-learning
Passionate about code design, high-quality code and code reviews, optimizing and challenging the status quo
Eager to own and maintain code and push it at the highest quality and security level, including UT and automation tests
Proactive by nature; internal drive for excellence and improvement
Excellent communication skills, fluent in English, good writing skills",https://careers.cyberark.com/job/Petach-Tikva-Senior-Software-Engineer-for-Serverless-Application-%28AWS%29/647909201/
2,Program Manager,"Petach Tikva, Israel",  Product Management,"Exceptional communications, leadership, time management, facilitation, and organizational skills
Ability to effectively interact with/present to (verbally and in writing) different departments at different levels including executive level.
Thorough understanding of project/program management techniques and methods
Experience as an inbound Program Manager and/or Project Manager
Experience working in a matrix environment and standing out as a successful collaborator and team-player
Self-learner, with ability to deep dive as needed
Technical experience and knowledge of CyberArk products or Cyber Security solutions and technologies – advantage",https://careers.cyberark.com/job/Petach-Tikva-Program-Manager/648383901/
3,Cloud System Architect,"Beer Sheva, Israel",  R&D,"Bachelor’s Degree in Computer Science or Computer Engineering – a must.
Loves technology and excited about learning new stuff
Deep familiarity with cloud infrastructures and architectures – AWS, GCP and Azure
Deep knowledge and experience in big data technologies
Proven ability to work with several dev groups in Israel and abroad.
At least 8 years of experience in SW development
At least 2 years of experience as a software architect
Information security experience – an advantage
Excellent communication and presentation skills
Strong problem-solving skills",https://careers.cyberark.com/job/beer-sheva-Chief-Cloud-Architect/647923301/
4,QA Architect,"Petach Tikva, Israel",  R&D,"At least 3 years of experience in QA positions
Wide perspective of complex product solutions (business, technical, architecture)
Experience in test design and execution for complex systems (manual and automatic)
Deep understanding of QA methodologies
Comprehensive experience working in an Agile development process
Fluent English",https://careers.cyberark.com/job/Petach-Tikva-QA-Architect/650244601/
5,Legal Counsel,"Petach Tikva, Israel",  Legal,"LLB degree, member of the Israeli Bar
Mother-tongue level English, excellent communication and drafting skills
At least 3 years of relevant experience in a corporate law firm, preferably in a high-tech department; in house experience an advantage
Creative and pragmatic thinker, has strong interpersonal skills and provides excellent service to his/her clients
Consistent delivery on commitments – great organizational skills, resourceful and results-oriented
Experience in cybersecurity, privacy and M&As an advantage",https://careers.cyberark.com/job/Petach-Tikva-Legal-Counsel/644304101/
6,C++ /WIN Engineer,"Petach Tikva, Israel",  R&D,"BSc in computer-science/engineering/ Elite unit alumni
At least 1 years of experience in C++ Windows development
Innovator by nature. Thinking out of the box.
Proactive, highly motivated individual with a high work ethic and goal-oriented approach
Excellent communication and presentation skills
Proven technical skills and self-learning ability, capable of thoroughly understanding the functional and technical aspects of a complex system
Excellent design and analytical skills, problem solver / deep troubleshooting capabilities",https://careers.cyberark.com/job/Petach-Tikva-C%2B%2B-WIN-Engineer/652560901/
7,IT Global Service Team Leader,"Petach Tikva, Israel",  IT,"  Proven work experience as a global Help desk team leader of at least 2 years
Must have good understanding of a “service business” and KPI’s
Excellent communication and customer service skills
Excellent time management skills
Excellent ability to multitask across multiple projects and prioritize in fast paced environment
Knowledge and experience in supporting development (R&D) teams
Min. of 3 years prior experience as an IT support engineer
Strong knowledge of Microsoft Windows operating system’ Microsoft Office products,
Mac operating system and Mac management – big advantage
At least 3 years of proven experience in Active directory, Office 365, VPN, Printers, Personal computing,
Exchange administration (email accounts, distribution lists, shared mailboxes, resources)
Image computers according to specification using SCCM/JAMF/MDM – big advantage
Excellent written and verbal communications skills in English
Able to work with a globally distributed team
Familiar with security products (AV, EDR etc.).
Hardworking and flexible with the ability to work under pressure",https://careers.cyberark.com/job/Petach-Tikva-IT-Global-Service-Team-Leader/645285901/
8,Automation Engineer (C# \ Python),"Petach Tikva, Israel",  R&D,"B.Sc. in Computer Science, in a related field or equivalent military experience
At least 2 years experience in hands-on automation testing development (C#, Python).
Strong ability to use new technologies and understand them in depth through rapid self-learning
Operating systems – Linux
Excellent design, analytical and strong troubleshooting ability
Proactive by nature; internal drive for excellence and improvement
Great interpersonal relations, open and communicative team player while also having the ability to woark alone
DevOps experience.
Fluent in English, good writing skills.",https://careers.cyberark.com/job/Petach-Tikva-Automation-Engineer-%28C-Python%29/652696101/
9,Automation Engineer,"Petach Tikva, Israel",  R&D,"Bachelor’s Degree in Computer Science or related field
Strong understanding of computer programming, software design and development
Strong ability to use new technologies and understand them in depth through rapid self-learning
Excellent design, analytical and strong troubleshooting ability
Proactive by nature; internal drive for excellence and improvement
Great interpersonal relations, open and communicative team player while also having the ability to work alone
Original thinker, creative, open minded",https://careers.cyberark.com/job/Petach-Tikva-Automation-engineer-%28Recruiter-Shira-Rottensterich-shitrit%29/641007201/
10,Junior Automation Engineer,"Petach Tikva, Israel",  R&D,"Bachelor’s Degree in Computer Science or related field
Strong understanding of computer programming, software design and development
Strong ability to use new technologies and understand them in depth through rapid self-learning
Excellent design, analytical and strong troubleshooting ability
Proactive by nature; internal drive for excellence and improvement
Great interpersonal relations, open and communicative team player while also having the ability to work alone
Original thinker, creative, open minded",https://careers.cyberark.com/job/Petach-Tikva-Junior-Automation-Engineer/652956701/
