id,JobTitle,CompanyName,JobRequirements,JobCategory,Location,Link
0,Software Engineer Intern - Netanya - Israel,Cisco,"Location: Netanya, Israel
 WHY YOU’LL LOVE CISCO We connect everything: people, processes, data, and things. We innovate everywhere, taking bold risks to shape the technologies that give us smart cities, connected cars, and handheld hospitals. And we do it in style with unique personalities who aren’t afraid to change the way the world works, lives, plays and learns. We are thought leaders, tech geeks, pop culture aficionados, and we even have a few purple haired rock stars. We celebrate the creativity and diversity that fuels our innovation. We are dreamers and we are doers. #We Are Cisco   WHAT YOU'LL DO We are looking for Software Engineer Intern to join the Digital Network Architecture Center (DNAC) product development team. In this role you will work on design and implementation of ground breaking new features and tackle critical customers issues in high scale enterprise production environments.   WHO YOU'LL WORK WITH Cisco is redefining the networking industry. To make this happen, we are heavily investing in team responsible for The Network. We are disrupting the industry by building a new networking platform that can learn, adapt, and secure itself at the speed of today’s businesses. Cisco Digital Network Architecture platform automates network management and provides our customers with state-of-the-art analytics and insights. You will work with one of the most hardworking group of engineers in the industry, bringing innovation into the networking world.   REQUIREMENTS -  Student graduating in 2022 pursuing a BA/BSc in Computer Science or Software Engineering from Technion, Tel Aviv, Ben-Gurion or Hebrew University with a GPA of 85 or above  -  Strong software development skills in Java/C#/C++  -  Good understanding of standard networking protocols  -  Software development experience in Linux environment  -  Very good verbal and written communication skills (English)   -  Hands on experience with scripting languages (Python, Perl)  -  You are curious to learn new technologies and collaborate with fellow engineers to raise the bar to create team success  
We understand from experience that not ticking every box on the skills sections stops many from applying. You should apply if you feel you are the right person for the job and have the aptitude to learn and deliver results.  
#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference powering an inclusive future for all.   We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (36 years strong) and only about hardware, but we’re also a software company. And a security company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!  But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)  Day to day, we focus on the give and take. We give our best, give our egos a break, and give of ourselves (because giving back is built into our DNA.) We take accountability, bold steps, and take difference to heart. Because without diversity of thought and a dedication to equality for all, there is no moving forward.  So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!   ",Intern/Engineer - Software,"South Netanya, Israel",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-Intern-Netanya-Israel/1326085
1,Graduate DFT Engineer,Cisco,"What You'll Do

You'll be joining our Cisco Silicon One team which is the center of Cisco’s SW and ASIC design. Our engineers deal with all chip design aspects: definition, architecture, micro architecture, design, verification, signoff and validation.
We use the latest silicon technologies and processes to build largest scale and most complex devices at the edge of feasibility.

Who You'll Work With

You'll be part of our Group driving our game changing next generation network devices - Cisco Silicon One™. Our unique team works in a startup atmosphere inside a stable and leading corporate
Our design center is very unique -  hosting all silicon HW and SW development disciplines inside one site.
We are transforming the industry and building a new internet for the 5G era, providing a unified, programmable silicon architecture that is the foundation of all Cisco's future routing products.
Our devices are designed to be universally adaptable across service providers and web-scale markets, designed for fixed and modular platforms. Our devices deliver high speed without sacrificing programmability, buffering, power efficiency, scale or feature flexibility.
Cisco Silicon One™ is a revolutionary, ground-breaking technology for our customers and end users for decades to come! The Internet now has a new faster, better, safer engine!

 Learn more about us right here:
Silicon One Article
Cisco Silicon One movie
Cisco CEO talks to Fortune about 5G Chips
Israeli Calcalist on Leaba Cisco acquisition (in Hebrew)
Cisco Bets Its Business on 'Internet for the Future' Strategy

Who You Are

Excellent communication skills (in English)
Fast learner
B.Sc/M.Sc in Electrical Engineering from a Technion, Ben-Gurion, Tel-Aviv or Hebrew University with GPA above 85
It will be a big plus if you have experience in working on the DFT area from the definition via the design and up to full production


Why Cisco

We connect everything: people, processes, data, and things. We innovate everywhere, taking bold risks to shape the technologies that give us smart cities, connected cars, and handheld hospitals. And we do it in style with unique personalities who aren’t afraid to change the way the world works, lives, plays and learns. 

We are thought leaders, tech geeks, pop culture aficionados, and we even have a few purple haired rock stars. We celebrate the creativity and diversity that fuels our innovation. We are dreamers and we are doers. 

#WeAreCisco ",New Graduate/Engineer - Hardware,"Caesarea, Israel",https://jobs.cisco.com/jobs/ProjectDetail/Graduate-DFT-Engineer/1323948
2,Software Engineer Intern - Netanya - Israel,Cisco,"Location: Netanya, Israel
What You'll Do  You will work on Cisco’s Next Gen traffic analytics technology Team which is responsible for detecting IOT devices, connected endpoints and network applications at real-time. As an intern you will be an integral part of the team growing to be a graduate engineer.  The technology we develop is used for Security solutions like network access control, IOT security, cybersecurity and bandwidth control systems all around Cisco networking portfolio and is at the bleeding edge Cisco software solutions.  You will build detection algorithms and tools for research of endpoints and IoT devices behavior in networks. You will investigate and reverse-engineer internet protocols as well as use data analytics to correlate and model information from thousands of sensors. You will understand and experiment with classification and anomaly detection techniques and get exposed to industry leading solutions in the security and application experience space.  We use Java and Python, running at high performance and scale and use a CI/CD development practices running on AWS. As part of the team you will make choices which impact the end product and customers' benefit, bringing innovative solutions to the field. You will have the opportunity to master existing skills while learning new ones and grow.  Who You'll Work With  You will work with one of the most talented group of engineers in the industry, bringing innovation into the networking world. We are part of the enterprise and security groups working on innovative technologies to detect and prevent cyber security attacks and allow control and segmentation policies. The team is executing in agile and lean methodology and uses cutting edge development and testing techniques. Every engineer is responsible for the complete life cycle of the code. We are working in a startup mode, backed up by giant Cisco.  Who You Are  
Student of Computer Science, Computer Engineering or Data Science from the Tel-Aviv, Technion or Hebrew University of Jerusalem with a GPA of at least 85. Being a student for the whole duration of the internship is a must (graduating in 2022-23).
A forward-thinking and independent individual with high level of curiosity and analytics skills.
Basic Knowledge with DBs and DB APIs - Mongo, SQL, REST
Basic knowledge in data processing - e.g. Jupyter, Pandas
Basic knowledge with Networks and Network analytics tools - Wireshark, NMAP
Passionate about Java, Python
Advantageous:
Related software development/Project or Cyber Security analysis & research
Networking background 
Experience with Java, Python programming
  Why Cisco  #WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here’s how we do it. We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. A blockchain company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!
But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)
Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward. So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!",Intern/Engineer - Software,"South Netanya, Israel",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-Intern-Netanya-Israel/1323951
3,Business Development Director,Cisco," The Team 

The Corporate Development (CD) organization is responsible for leading Cisco's external innovation strategy by driving acquisitions, as well as, venture investments through its corporate venture arm - Cisco Investments (www.ciscoinvestments.com). The team is comprised of over 40 professionals with deep market and technology expertise located in major geographies including the US, Israel, Europe, India, China and Singapore. Having invested in hundreds of companies and completed more than 220 acquisitions, the team has unparalleled experience and visibility across the technology industry. Cisco Investments currently manages an approximately $2B portfolio, with over 120 direct investments and more than 55 limited partner positions around the world.   
 The Opportunity 

As part of this high profile organization, Cisco is looking for an experienced executive to lead a team that manages Cisco's acquisition and investment activities in Israel. In addition to the currently identified market opportunities, the CD Israel team is expected to work with senior Cisco leadership to identify and develop the next set of geographic expansion strategies that have the potential to develop into new billion dollar businesses. Israel has been the most active geography for Cisco’s corporate development efforts outside the US. 
 Role & Responsibilities 

The individual will be responsible for driving all aspects of CD activities for this critical segment, including developing market strategies for growth and acting as the overall Israel lead for acquisitions, partnerships and venture capital investments – including sourcing, diligence, deal term structuring and post-deal monitoring. 
The individual will work closely with the executive leadership team at Cisco with visibility at the highest levels and have an active role in partnering with business units and functions and with senior regional Sales executives. 
This role provides an opportunity to be a major contributor to Cisco’s strategy for the future and the individual will have the ability to bring meaningful impact to Cisco. 
This role provides an opportunity to drive end to end acquisitions and investments and stay directly engaged with start up CEOs and company Boards. 
 Minimum Qualifications:
 The ideal candidate will have at least 15 years of experience across the technology industry, including significant strategy and transactional experience from a role in corporate development, venture capital, private equity or investment banking. 
Management experience will be required and the person must demonstrate the ability to be a leader both for his/her team as well as the broader CD organization. 
Potential candidates are expected to lead discussions with top executives both inside and outside of the company and be able to think outside of the box to drive creative thinking and decision making that has a high degree of strategic and financial impact. 
The person must be a self-starter with high EQ and demonstrate the ability to be successful in a global, unstructured, team-oriented environment. 

Relevant experience in the Enterprise software, hardware, IT, Telecommunications, datacenters or Cloud markets highly preferred. 
 Familiarity with a deal-oriented process and environment and ability to work under short timelines. 
Strong communication skills to work with senior executives across various business units and global theaters. 
Structured thinker with analytical and financial skills to work on complex financial transactions with minimal supervision. 
Undergraduate degree in a quantitative field such as Electrical Engineering or Computer Science from a leading university is highly preferred. 
 MBA from a top tier business school is highly preferred. 
 Why Cisco 

#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference powering an inclusive future for all.  
 
We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (36 years strong) and only about hardware, but we’re also a software company. And a security company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box! 
 
But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.) 
 
Day to day, we focus on the give and take. We give our best, give our egos a break, and give of ourselves (because giving back is built into our DNA.) We take accountability, bold steps, and take difference to heart. Because without diversity of thought and a dedication to equality for all, there is no moving forward. 
 
So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us! 

#LI-MZ1",Professional/Business Development,"Tel Aviv-Yafo, Israel",https://jobs.cisco.com/jobs/ProjectDetail/Business-Development-Director/1324021
4,Phy Firmware Engineer,Cisco,"What You'll Do
 ·       You’ll be joining the PHY system team at Cisco Silicon One group as part of the silicon development at Cisco.
·       Our team deals with PHY and system aspects of the device: PHY Firmware  Development, calibrations development, system definitions and operations and post-silicon validation.
·       We use latest silicon technologies and processes to build the largest scale and most complex devices at the edge of feasibility.

Who You'll Work With

Leaba semiconductor was acquired by Cisco a few years ago and now is the center of Cisco’s ASIC design group.
You'll be part of our Group driving our game changing next generation network devices - Cisco Silicon One™. Our unique team works in a startup atmosphere inside a stable and leading corporate
Our design center is very unique -  hosting all silicon HW and SW development disciplines inside one site.
We are transforming the industry and building a new internet for the 5G era, providing a unified, programmable silicon architecture that is the foundation of all Cisco's future routing products.
Our devices are designed to be universally adaptable across service providers and web-scale markets, designed for fixed and modular platforms. Our devices deliver high speed without sacrificing programmability, buffering, power efficiency, scale or feature flexibility.
Cisco Silicon One™ is a revolutionary, ground-breaking technology for our customers and end users for decades to come! The Internet now has a new faster, better, safer engine!

 Learn more about us right here:
https://www.cisco.com/c/en/us/solutions/service-provider/innovation/silicon-one.html
https://fortune.com/2019/12/11/cisco-ceo-chuck-robbins-chips/?_lrsc=ce750ac5-11c8-4995-bfd3-936de1c06009&dtid=osolin001080
https://www.calcalist.co.il/internet/articles/0,7340,L-3775619,00.html
https://www.youtube.com/watch?v=YRJuFrZC-GE&list=PLFT-9JpKjRTA0aqRbr5sR2iiaqVtK6Wf0&index=1
https://blogs.cisco.com/sp/five-principles-at-the-heart-of-cisco-silicon-one?_lrsc=6c2b8b61-b513-4457-bdc9-12b9f9ecef45&dtid=osolin001080

Who You Are
·       Electrical engineer / Computer Science
·       B.Sc/M.Sc from a top university with GPA above 85
·       System orientation with multi-disciplinary approach and multitasking capabilities
·       Major in Communication and signal processing – advantage
·       Experience with lab work – advantage
·       Experience with C++, Python and Matlab - advantage

Why Cisco
#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference powering an inclusive future for all. 

We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (36 years strong) and only about hardware, but we’re also a software company. And a security company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!

But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)

Day to day, we focus on the give and take. We give our best, give our egos a break, and give of ourselves (because giving back is built into our DNA.) We take accountability, bold steps, and take difference to heart. Because without diversity of thought and a dedication to equality for all, there is no moving forward.

So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us! 

#LI-MZ1
Please note this posting is to advertise potential job opportunities. This exact role may not be open today, but could open in the near future. When you apply, a Cisco representative may contact you directly if a relevant position opens.",Professional/Engineer - Hardware,"Caesarea, Israel",https://jobs.cisco.com/jobs/ProjectDetail/Phy-Firmware-Engineer/1323839
5,Software Engineer - Hybrid Cloud,Cisco,"What You'll Do

As a Software Engineer in network access security team, you will be part of the team which develops Cisco’s next generation hybrid-cloud security, policy and access solutions. This group is developing the most advanced security solutions and authentications to enterprise customers all around the world.
You will work with state of the art technologies, and build applications, solutions and systems that will shape how organizations will secure their access to networks.

Who You'll Work With

You will be surrounded by passionate, intelligent and creative people that are determined to redefine the security and networking industry with innovative ideas and unrivaled products and services. It's a place where the best ideas are quickly transformed into products, features, campaigns and company-wide practices. As part of the Security Policy and Access team, you will be empowered to make a difference, establish a reputation, and position yourself, your team and the business for continued growth.

Who You Are
At minimum, we require:
B.A. or B.Sc in Computer Science, Computer Engineering or Electric Engineering
Up to 2 years of experience in software development in any object oriented language.
Experience using Java, C++ and Python programming language is a plus
Experience developing software for on AWS, Azure or Google cloud is a plus.
Networking and/or Security experience is a plus.
Full Stack development knowledge is a plus.
Interest and Ability to understand big systems is a plus
DevOps experience is a plus

Why Cisco

#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here’s how we do it.
We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. A blockchain company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!
But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)
Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward.
So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!
#WeAreCisco

#LI-MZ1

Please note this posting is to advertise potential job opportunities. This exact role may not be open today, but could open in the near future. When you apply, a Cisco representative may contact you directly if a relevant position opens.",Professional/Engineer - Software,"South Netanya, Israel",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-Hybrid-Cloud/1323735
6,SW System Architect – Cloud & Big Data systems,Cisco,"Who We Are

We are looking for a brilliant Software development technical Leader and system architect to be part of our Applications and Endpoints Analytics team.
Our team develops innovative application user experience big data and analytics system for Cisco Enterprise and Cloud Networking business.
The role includes definition and design of the product features, interacting with product management and customers as well as peer teams to drive the system design and guide our software development team. We are developing both on-prem and Cloud/SaaS big data system for network traffic analytics, application assurance and user experience health monitoring and troubleshooting. This is a great opportunity to lead and define systems that touch an endless number of users worldwide.
Be part of the Cisco organization that is driving the evolution and expansion into new technology areas and market segments.
 
Who You Are

•         Bachelor’s degree in Computer Science or Computer Engineering
•         At least 10 years’ experience in software engineering and development in Java
•         At least 5 years’ experience in complex systems definition and software architecture
•         Experience in stream pipeline processing, big data and cloud/SaaS products development
•         Experience in Networking or Security products development
•         Leadership and mentoring abilities
•         Ability to interact with cross functional and cross geo technical teams for system architecture
•     Ability to study and deep dive into new material quickly and independently
•     Excellent English documentation and communication skills
Advantages:
Experience in network traffic visibility, applications visibility and user experience


Why Cisco

#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here’s how we do it.
We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. A blockchain company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!
But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)
Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward.
So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!
#WeAreCisco

#LI-MZ1


Please note this posting is to advertise potential job opportunities. This exact role may not be open today, but could open in the near future. When you apply, a Cisco representative may contact you directly if a relevant position opens.",Professional/Engineer - Software,"South Netanya, Israel",https://jobs.cisco.com/jobs/ProjectDetail/SW-System-Architect-Cloud-Big-Data-systems/1322488
7,Sr. Software Engineer - Next Gen Applications,Cisco,"Who we are
Cisco is the biggest networking company in the world! In our Massive Scale Infrastructure Group (MIG), we develop the future NMS\EMS products.
What You'll Do
As part of the MIG Applications, you will help Cisco to further improve the market leading Management Solutions in the Cloud and IP-NGN area, by contributing to the development of the next generation NMS/EMS (Network/Element Management) systems.
You will develop in an environment that is using cutting edge technologies in network management to facilitate abstraction of the network visualization and management.
Work will be in Java using the newest technologies like Micro Services, Kubernetes, PostgreSQL, Oracle DB, Tomcat, Spring, Rest, Hibernate.
Who You'll Work With
We are a team of vert innovative engineers working on a web based monitoring application for service providers.
We are responsible for developing the network topology visualization framework used by several applications, in addition to several other applications for visualizing different aspects of a network.
Who You Are
We are looking for the next outstanding engineer to join our amazing team.
The ideal candidate demonstrates a system-level focus while understanding the impact of every component. Have the skills to design, build and lead software features.
Our minimum requirements for this role:
6+ years of confirmed experience in Java.
Excellent Object Oriented design, Design Patterns and coding skills
Experience with Web Application development
Great teammate, proactive and productive, with strong background in computer science. Highly dedicated and motivated person.
Very good logic and problem solving capabilities
Ability to study new material quickly and independently
Ability to ''dive'' into complex existing code
Desired Skills
Experience with JPA, Hibernate, Spring and Micro Services is a huge advantage.
Oracle\SQL\PostgreSQL
Excellent written and oral communication skills in English.
 
 Why Cisco
  #WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here's how we do it. 
  We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. A blockchain company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!
  But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)
  Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward.
  So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us! 
  #WeAreCisco
          #LI-MZ1






 ",Professional/Engineer - Software,"South Netanya, Israel",https://jobs.cisco.com/jobs/ProjectDetail/Sr-Software-Engineer-Next-Gen-Applications/1322391
8,Security Framework Automation Engineer,Cisco,"What You’ll Do
You will work with state of the art technologies, explore, craft and implement the market leading security policy management platform that carries out secure access to network resources.
Be part of the Cisco organization that is driving the evolution and expansion into new technology areas and market segments.
As a security framework automation engineer you will be designing, implement, improve, our product security processes:
Work with application security engineers to develop test case scenarios on critical applications
Work with DevOps team to ensure appropriate security testing and controls are in place on and throughout the CI/CD pipelines for critical applications
Document security testing practices for efficient and reproducible workflows
Advise and guide as to the secure development lifecycle for assigned projects
Design, implement and improves Python-based automation framework to be used by various teams
Crafting and developing automated tools and routines for security
Provide application security expertise throughout the product security life cycle to project delivery teams,
Support internal security operations functions, including security awareness training, vulnerability management, and incident response
Assist in the development of application security and architecture security training materials for internal use among security staff
Collaborate closely with the scrum teams to understand the security use cases 
Who You'll Work With
You will be surrounded by passionate, intelligent and creative people that are determined to redefine the security and networking industry with innovative ideas and outstanding products and services. It's a place where the best ideas are quickly transformed into products, features, campaigns and company-wide practices.
As part of Cisco engineering organization, you will be empowered to make a difference, establish a reputation, and position yourself, your team and the business for continued growth.
Our team is made of engineers with a diverse skillset ensuring the Security, good quality, and development velocity of business-critical security solutions.
We work with the latest software technologies, development methodologies, and tools to efficiently and effectively deliver results while staying relevant to technical innovations and newest Security methodologies and tools to build secured products
Who You Are
A pragmatic and hardworking engineer who enjoys security and solving sophisticated problems with experience in security and a strong background in automation framework and tooling development
You have 2+ years of related experience as a Security Engineer
You have 3+ years of related experience as an Automation Framework Engineer
You have in-depth knowledge of Security methodologies
Very good Shell/Bash/Python scripting
Experience with Linux
Experience with Jenkins
Experience with containers
Experience with various Cloud development methodologies and virtual environments
Very good interface management with peers, subordinates, and managers
High attention to details and accuracy
Why Cisco
#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here’s how we do it.
We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. A blockchain company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!
But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)
Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward.
So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!
#WeAreCisco

#LI-MZ1",Professional/Engineer - Software,"South Netanya, Israel",https://jobs.cisco.com/jobs/ProjectDetail/Security-Framework-Automation-Engineer/1321099
9,ASIC development Hardware Engineer Intern,Cisco,"You'll be joining our Cisco Silicon One team which is the center of Cisco’s ASIC design. 
Our engineers deal with all chip design aspects: from definition, architecture, coding to physical design and signoff.

We currently have three opportunities to offer. Here is what you can expect:

1.    Lab post silicon electrical characterization – very high-speed interfaces characterization and compliance to spec; silicon electrical validation including power, speed, process, and packaging thermal; high usage with lab high speed / RF equipment and automation.
2.    Signal integrity (SI) and Power integrity (PI): SI of very high-speed interfaces. Layout escape and routes geometries extractions, optimization and sign-off to the spec. Frequency and time domain analysis. PI of very power hungry and analog sensitive supplies, impedance profile extraction, time domain analysis of latest SI/PI tools and flows. Close relations with the IP/Packaging/PCB teams for max optimizations and tradeoffs.
3.    Package design from bump map and spec to full netlist and layout implementation. Large scale, multi die complex structures. Design signoff including high speed routes, LVS, LVL, IR drop etc’. Close relations with the IP/PD/PCB teams for max optimizations of the package design.
We use the latest silicon technologies and processes to build largest scale and most complex devices at the edge of feasibility.

Who You'll Work With
Top industry engineers in a fast-growing Silicon One group @ Cisco worldwide.
You'll be part of our Group driving our game changing next generation network devices - Cisco Silicon One™. Our unique team works in a startup atmosphere inside a stable and leading corporate.

Our design center is very unique - hosting all silicon HW and SW development disciplines inside one site.

We are transforming the industry and building a new internet for the 5G era, providing a unified, programmable silicon architecture that is the foundation of all Cisco's future routing products.

Our devices are designed to be universally adaptable across service providers and web-scale markets, designed for fixed and modular platforms. Our devices deliver high speed without sacrificing programmability, buffering, power efficiency, scale or feature flexibility.

Cisco Silicon One™ is a revolutionary, ground-breaking technology for our customers and end users for decades to come! The Internet now has a new faster, better, safer engine!

Who You Are
exceptional B.Sc Electrical Engineer student (graduating in 2022) from a TAU, Technion, Ben-Gurion or Hebrew University with average grades above 85
Practical engineer – advantage!
Experience in lab test/characterization, SI/PI analysis and board/package design is not a must.
You should have the passion for hands-on experience. You should be eager to learn and succeed!
Fluent English speaker
Able to work in Israel without additional visa support",Intern/Engineer - Hardware,"Caesarea, Israel",https://jobs.cisco.com/jobs/ProjectDetail/ASIC-development-Hardware-Engineer-Intern/1320780
